Name,Company,City/Region
Clinique vétérinaire Donnacona,Vet Strategy,"Donnacona, Que."
Clinique vétérinaire Douville,Vet Strategy,"Saint-Hyacinthe, Que."
Clinique vétérinaire Dre Suzanne Marcil,Vet Strategy,"Howick, Que."
Clinique vétérinaire du Faubourg (Globalvet),Vet Strategy,Quebec City
Clinique vétérinaire du Littoral inc. (Globalvet),Vet Strategy,"Rimouski, Que."
Clinique Vétérinaire Fontainebleau,Vet Strategy,"Blainville, Que."
Clinique vétérinaire Duplessis,Vet Strategy,Quebec City
Clinique vétérinaire Hamel,Vet Strategy,"L’Ancienne-Lorette, Que."
Clinique vétérinaire Lachapelle,Vet Strategy,"Saint-Augustin-de-Desmaures, Que."
Clinique vétérinaire Laurentien-Keller,Vet Strategy,"Saint-Laurent, Que."
Clinique Vétérinaire les Jardins de Napierville,Vet Strategy,"Napierville, Que."
Clinique vétérinaire Lévis (Globalvet),Vet Strategy,"Saint-Romuald, Que."
Clinique vétérinaire Lévis-Lauzon,Vet Strategy,"Lévis, Que."
Clinique vétérinaire Loretteville (Globalvet),Vet Strategy,Quebec City
Clinique vétérinaire Nicolet (Évolution),Vet Strategy,"Nicolet, Que."
Clinique vétérinaire Plateau Mont Royal,Vet Strategy,Montreal
Clinique vétérinaire Québec-Centre (Globalvet),Vet Strategy,Quebec City
Clinique vétérinaire Saint-Canut,Vet Strategy,"Mirabel, Que."
Clinique vétérinaire St-André,Vet Strategy,"Acton Vale, Que."
Clinique vétérinaire St-Etienne (Vetcom),Vet Strategy,"Lévis, Que."
Clinique vétérinaire St-Jean-Chrysostome (Vetcom),Vet Strategy,"St-Jean Chrysostome, Que."
Clinique vétérinaire Saint-Nicolas (Globalvet),Vet Strategy,"Saint-Nicolas, Que."
Clinique vétérinaire St-Marc-des-Carrières,Vet Strategy,"St-Marc des Carrières, Que."
Clinique vétérinaire Ste-Marie (Vetcom),Vet Strategy,"Ste-Marie de Beauce, Que."
Clinique vétérinaire St-Paul,Vet Strategy,"Farnham, Que."
Clinique vétérinaire sur 4 Pattes,Vet Strategy,Montreal
Clinique vétérinaire Timberlea,Vet Strategy,"Kirkland, Que."
Clinique vétérinaire Vaudreuil,Vet Strategy,"Vaudreuil-Dorion, Que."
Clinique vétérinaire Ville-Émard (MTLVET),Vet Strategy,Montreal
Dre Eve Biron Clinique vétérinaire,Vet Strategy,"Drummondville, Que."
Hôpital vétérinaire Accès Vet Blainville Inc.,Vet Strategy,"Blainville, Que."
Hôpital vétérinaire Anima-Plus Beauport,Vet Strategy,Quebec City
Hôpital vétérinaire Anima-Plus Gatineau,Vet Strategy,"Gatineau, Que."
Hôpital vétérinaire Anima-Plus Île-Perrot,Vet Strategy,"Île-Perrot, Que."
Hôpital vétérinaire Anima-Plus Laurier,Vet Strategy,Montreal
Hôpital vétérinaire Anima-Plus les Coteaux,Vet Strategy,"Les Coteaux, Que."
Hôpital vétérinaire Anima-Plus Régional,Vet Strategy,"Gatineau, Que."
Hôpital vétérinaire Anima-Plus Varennes,Vet Strategy,"Varennes, Que."
Hôpital vétérinaire Animo-Vet,Vet Strategy,"Saint-Hubert, Que."
Hôpital vétérinaire Bois-Francs,Vet Strategy,"Victoriaville, Que."
Hôpital vétérinaire Carcajou,Vet Strategy,"Alma, Que."
Hôpital vétérinaire Chambly,Vet Strategy,"Chambly, Que."
Hôpital vétérinaire Cuivre et Or,Vet Strategy,"Rouyn-Noranda, Que."
Hôpital vétérinaire Coeur de Lotbinière (Vetcom),Vet Strategy,"Laurier-Station, Que."
Hôpital vétérinaire de Candiac (Globalvet),Vet Strategy,"Candiac, Que."
Hôpital vétérinaire de Houssart,Vet Strategy,"Trois-Rivières, Que."
Hôpital vétérinaire de la Seigneurie de Terrebonne,Vet Strategy,"Terrebonne, Que."
Hôpital vétérinaire de Rawdon,Vet Strategy,"Rawdon, Que."
Hôpital vétérinaire des Prairies,Vet Strategy,"Notre-Dame-des-Prairies, Que."
Hôpital vétérinaire du Haut-Richelieu,Vet Strategy,"Saint-Jean-sur-Richelieu, Que."
Hôpital vétérinaire du Parc (MTLVET),Vet Strategy,Montreal
Hôpital vétérinaire du Plateau,Vet Strategy,"Gatineau, Que."
Hôpital vétérinaire Énergie (Évolution),Vet Strategy,"Shawinigan, Que."
Hôpital vétérinaire Hudson,Vet Strategy,"Vaudreuil-Dorion, Que."
Hôpital vétérinaire Lachapelle,Vet Strategy,Quebec City
Hôpital vétérinaire Lachute,Vet Strategy,"Lachute, Que."
Hôpital vétérinaire Lasalle,Vet Strategy,"Lasalle, Que."
Hôpital vétérinaire Les Rivières,Vet Strategy,"Trois-Rivières, Que."
Hôpital vétérinaire Lindsay s.e.n.c.r.l.,Vet Strategy,"Drummondville, Que."
Hôpital vétérinaire Louiseville (Évolution),Vet Strategy,"Louiseville, Que."
Hôpital vétérinaire Mercier,Vet Strategy,"Mercier, Que."
Hôpital vétérinaire Pierre Boucher (Globalvet),Vet Strategy,"Longueuil, Que."
Hôpital vétérinaire Prévost,Vet Strategy,"Prévost, Que."
Hôpital vétérinaire Rive-Nord,Vet Strategy,"Trois-Rivières, Que."
Hôpital vétérinaire Roussillon,Vet Strategy,"Sainte-Catherine, Que."
Hôpital vétérinaire St-Lambert,Vet Strategy,"Saint-Lambert, Que."
Hôpital vétérinaire St-Lazare,Vet Strategy,"Saint-Lazare, Que."
Hôpital vétérinaire Taschereau,Vet Strategy,"Greenfield Park, Que."
Hôpital vétérinaire Verdun (MTLVET),Vet Strategy,Montreal
Hôpital vétérinaire Vieux Village,Vet Strategy,"Sherbrooke, Que."
17th Avenue Animal Hospital,VCA,Calgary
Calgary North Animal Hospital,VCA,Calgary
Calgary Trail Animal Hospital,VCA,Edmonton
Calgary West Animal Hospital,VCA,Calgary
CARE Centre,VCA,Calgary
Coach Hill Animal Hospital,VCA,Calgary
Country Hills Animal Hospital,VCA,Calgary
Crowfoot Animal Hospital,VCA,Calgary
Dalhousie Varsity Animal Hospital,VCA,Calgary
District Animal Hospital & Urgent Care,VCA,Calgary
Forest Lawn Animal Hospital,VCA,Calgary
Green Acres Animal Hospital,VCA,"Lethbridge, Alta."
Guardian Veterinary Centre,VCA,Edmonton
Harvest Hills Animal Hospital,VCA,Calgary
Landing Animal Hospital,VCA,Calgary
MacEwan Animal Hospital,VCA,Calgary
Marda Loop Animal Hospital,VCA,Calgary
Marlborough Animal Hospital,VCA,Calgary
Mayfield Animal Hospital,VCA,Edmonton
McKenzie Towne Animal Hospital,VCA,Calgary
Mills Haven Animal Hospital,VCA,"Sherwood Park, Alta."
North Central Animal Hospital,VCA,Edmonton
Riverbend Animal Hospital Calgary,VCA,Calgary
Riverbend Veterinary Hospital Edmonton,VCA,Edmonton
Royal Oak Animal Hospital,VCA,Calgary
Shawnessy South Animal Hospital,VCA,Calgary
Tuscany Animal Hospital,VCA,Calgary
Vets To Go (Calgary & Edmonton),VCA,Calgary
Western Veterinary Specialist & Emergency Centre,VCA,Calgary
Whitemud Creek Veterinary Hospital,VCA,Edmonton
Applecross Animal Hospital,VCA,"Nanaimo, B.C."
Burnside Animal Hospital,VCA,Victoria
Cats Only Animal Hospital,VCA,Vancouver
Central Saanich Animal Hospital,VCA,"Saanichton, B.C."
Central Victoria Veterinary Hospital,VCA,Victoria
Como Lake Animal Hospital,VCA,"Coquitlam, B.C."
Feltham Animal Hospital,VCA,Victoria
Healing Paws Animal Hospital,VCA,"Port Moody, B.C."
Highlands Animal Hospital,VCA,"North Vancouver, B.C."
Island Animal Hospital,VCA,"Nanaimo, B.C."
Ladysmith Animal Hospital,VCA,"Ladysmith, B.C."
Lynn Valley Animal Hospital,VCA,"North Vancouver, B.C."
Newton Animal Hospital,VCA,"Surrey, B.C."
North Shore Animal Hospital,VCA,"North Vancouver, B.C."
Ross Bay Animal Hospital,VCA,Victoria
Shamrock Animal Hospital,VCA,"Comox, B.C."
Tri Lake Animal Hospital & Referral Centre,VCA,"Winfield, B.C."
Vancouver Animal Emergency & Referral Centre,VCA,Vancouver
Vancouver Animal Wellness Hospital,VCA,Vancouver
Yaletown Animal Hospital,VCA,Vancouver
404 Veterinary Emergency and Referral Hospital,VCA,"Newmarket, Ont."
Alta Vista Animal Hospital,VCA,"Gloucester, Ont."
Askey Animal Hospital,VCA,"Burlington, Ont."
Barrie Veterinary Hospital,VCA,"Barrie, Ont."
Bay Cities Animal Hospital,VCA,"Burlington, Ont."
Bayview Animal Hospital,VCA,Ottawa
Beardall Animal Hospital,VCA,"Kingston, Ont."
Bellbrae Animal Hospital,VCA,"Collingwood, Ont."
Bells Corners Animal Hospital,VCA,"Nepean, Ont."
Birchmount Animal Hospital,VCA,"Scarborough, Ont."
Blair Animal Hospital,VCA,"Gloucester, Ont."
Blue Cross Animal Hospital,VCA,"Sarnia, Ont."
Burgess Animal Hospital,VCA,"Cambridge, Ont."
Burlington Animal Hospital,VCA,"Burlington, Ont."
Burnham Mansion Animal Hospital,VCA,"Peterborough, Ont."
Cachet Village Animal Hospital,VCA,"Markham, Ont."
Credit Valley Animal Hospital,VCA,"Mississauga, Ont."
Don Mills Animal Hospital,VCA,"North York, Ont."
Eastside Animal Hospital,VCA,"Stoney Creek, Ont."
Foster Park Animal Hospital,VCA,"Belleville, Ont."
Guelph Veterinary Surgery Services,VCA,"Guelph, Ont."
Heritage Animal Hospital,VCA,"Midland, Ont."
Jackson Creek Animal Hospital,VCA,"Peterborough, Ont."
Kanata Animal Hospital,VCA,"Kanata, Ont."
Kew Beach Animal Hospital,VCA,Toronto
Kingsway Animal Hospital,VCA,Hamilton
Kortright Animal Hospital,VCA,"Guelph, Ont."
Lakeshore Animal Hospital,VCA,"Mississauga, Ont."
Lawrence Veterinary Clinic,VCA,Toronto
Lexington Rd. Animal Hospital,VCA,"Waterloo, Ont."
London Regional Veterinary Emergency and Referral Hospital,VCA,"London, Ont."
MacKay Animal Hospital,VCA,"Whitby, Ont."
Masonville Animal Hospital,VCA,"London, Ont."
Matthews Animal Hospital,VCA,"London, Ont."
Mississauga Oakville Veterinary Emergency and Specialty Hospital,VCA,"Oakville, Ont."
Morningside Animal Hospital,VCA,"Scarborough, Ont."
Mt. Pleasant - Davisville Animal Hospital,VCA,Toronto
Northdale Animal Hospital,VCA,"London, Ont."
Northumberland Animal Hospital,VCA,"Colborne, Ont."
Oshawa Animal Hospital,VCA,"Oshawa, Ont."
O'Sullivan Animal Hospital,VCA,"Barrie, Ont."
Ottawa Veterinary Hospital,VCA,Ottawa
Petrolia Veterinary Services,VCA,"Petrolia, Ont."
Port Colborne Animal Hospital,VCA,"Port Colborne, Ont."
Pretoria Animal Hospital,VCA,Ottawa
Richmond Hill Animal Hospital,VCA,"Richmond Hill, Ont."
Rosedale Animal Hospital,VCA,Toronto
Scarborough Animal Hospital,VCA,Toronto
Secord Animal Hospital,VCA,Toronto
Toronto Veterinary Emergency Hospital,VCA,"Scarborough, Ont."
Usher Animal Hospital,VCA,Toronto
Westside Animal Hospital,VCA,Toronto
Willowdale Animal Hospital,VCA,Toronto
Centre Vétérinaire Laval,VCA,"Laval, Que."
Centre Vétérinaire Rive-Sud,VCA,"Brossard, Que."
Clinique vet. de Sante Animale de Montreal,VCA,Montreal
Clinique Vétérinaire Cimon Loretteville,VCA,Quebec City
Clinique Vétérinaire Cimon St-Sacrement,VCA,Quebec City
Clinique Vétérinaire Cimon Vanier,VCA,Quebec City
Clinique veterinaire feline de Ste-Foy,VCA,Quebec City
Hopital Veterinaire Blainville,VCA,"Blainville, Que."
Hôpital Vétérinaire Centre-ville Montréal,VCA,Montreal
Hôpital Vétérinaire de l’Ormière,VCA,Quebec City
Hôpital Vétérinaire de la Laurentie,VCA,"Saint-Charles-Borromée, Que."
Hôpital Vétérinaire de la Montérégie,VCA,"Carignan, Que."
Hôpital Vétérinaire de Repentigny,VCA,"Repentigny, Que."
Hôpital Vétérinaire des Laurentides,VCA,Quebec City
Hôpital Vétérinaire des Moulins,VCA,"Maschouche, Que."
Hôpital Vétérinaire Ste-Rose,VCA,"Laval, Que."
Hôpital Vétérinaire Ste-Thérèse,VCA,"Ste-Thérèse, Que."
Hôpital Vétérinaire St-Eustache Deux-Montagnes,VCA,"St-Eustache, Que."
Hôpital Vétérinaire Trifluvien,VCA,"Trois-Rivières, Que."
Hôpital Vétérinaire Victoria - Ste-Julie Branch,VCA,"Sainte-Julie, Que."
Hôpital Vétérinaire Victoria - St-Lambert Branch,VCA,"St-Lambert, Que."
Hôpital Vétérinaire Victoria - Verdun Branch,VCA,"Verdun, Que."
Hôpital Vétérinaire Ville St-Laurent,VCA,"St-Laurent, Que."
L’Hôpital Vétérinaire Victoria à Greenfield Park,VCA,"Greenfield Park, Que."
Pierrefonds Animal Hospital,VCA,"Pierrefonds, Que."
All West Animal Hospital,VCA,Saskatoon
Central Animal Hospital,VCA,Saskatoon
Frontier Animal Hospital,VCA,Saskatoon
Lakeview Animal Hospital,VCA,Saskatoon
